category,kind,image,rank,listingId,title,score
living-room,interior,living-room-01.jpg,1,5beded7e-600e-4a41-b6b0-818a1e23a4ed,"شقة فى مدينة نصر",49.4
living-room,interior,living-room-01.jpg,2,c2d7a0a0-d146-4e0c-9edb-95e698edcd99,"شقة فى المعادى",49.4
living-room,interior,living-room-01.jpg,3,d7b6825a-fe7b-43d0-8045-040e3f15e1dd,"Luxury Apartment in New Cairo",47.7
living-room,interior,living-room-01.jpg,4,f15933d0-b890-4c3e-9652-67fa93999e80,"Modern Apartment in Zamalek (Test)",45.1
living-room,interior,living-room-02.jpg,1,5beded7e-600e-4a41-b6b0-818a1e23a4ed,"شقة فى مدينة نصر",67.9
living-room,interior,living-room-02.jpg,2,c2d7a0a0-d146-4e0c-9edb-95e698edcd99,"شقة فى المعادى",67.9
living-room,interior,living-room-02.jpg,3,d7b6825a-fe7b-43d0-8045-040e3f15e1dd,"Luxury Apartment in New Cairo",66.3
living-room,interior,living-room-02.jpg,4,f15933d0-b890-4c3e-9652-67fa93999e80,"Modern Apartment in Zamalek (Test)",63
living-room,interior,living-room-03.jpg,1,5beded7e-600e-4a41-b6b0-818a1e23a4ed,"شقة فى مدينة نصر",66.6
living-room,interior,living-room-03.jpg,2,c2d7a0a0-d146-4e0c-9edb-95e698edcd99,"شقة فى المعادى",66.6
living-room,interior,living-room-03.jpg,3,d7b6825a-fe7b-43d0-8045-040e3f15e1dd,"Luxury Apartment in New Cairo",65.1
living-room,interior,living-room-03.jpg,4,f15933d0-b890-4c3e-9652-67fa93999e80,"Modern Apartment in Zamalek (Test)",62.7
living-room,interior,living-room-04.jpg,1,5beded7e-600e-4a41-b6b0-818a1e23a4ed,"شقة فى مدينة نصر",54
living-room,interior,living-room-04.jpg,2,c2d7a0a0-d146-4e0c-9edb-95e698edcd99,"شقة فى المعادى",54
living-room,interior,living-room-04.jpg,3,d7b6825a-fe7b-43d0-8045-040e3f15e1dd,"Luxury Apartment in New Cairo",53.7
living-room,interior,living-room-04.jpg,4,f15933d0-b890-4c3e-9652-67fa93999e80,"Modern Apartment in Zamalek (Test)",51.5
living-room,interior,living-room-05.jpg,1,5beded7e-600e-4a41-b6b0-818a1e23a4ed,"شقة فى مدينة نصر",77.9
living-room,interior,living-room-05.jpg,2,c2d7a0a0-d146-4e0c-9edb-95e698edcd99,"شقة فى المعادى",77.9
living-room,interior,living-room-05.jpg,3,d7b6825a-fe7b-43d0-8045-040e3f15e1dd,"Luxury Apartment in New Cairo",77.2
living-room,interior,living-room-05.jpg,4,f15933d0-b890-4c3e-9652-67fa93999e80,"Modern Apartment in Zamalek (Test)",75.4
living-room,interior,living-room-06.jpg,1,d7b6825a-fe7b-43d0-8045-040e3f15e1dd,"Luxury Apartment in New Cairo",50.3
living-room,interior,living-room-06.jpg,2,f15933d0-b890-4c3e-9652-67fa93999e80,"Modern Apartment in Zamalek (Test)",49.3
living-room,interior,living-room-06.jpg,3,5beded7e-600e-4a41-b6b0-818a1e23a4ed,"شقة فى مدينة نصر",47.4
living-room,interior,living-room-06.jpg,4,c2d7a0a0-d146-4e0c-9edb-95e698edcd99,"شقة فى المعادى",47.4
living-room,interior,living-room-07.jpg,1,d7b6825a-fe7b-43d0-8045-040e3f15e1dd,"Luxury Apartment in New Cairo",43.3
living-room,interior,living-room-07.jpg,2,5beded7e-600e-4a41-b6b0-818a1e23a4ed,"شقة فى مدينة نصر",43.2
living-room,interior,living-room-07.jpg,3,c2d7a0a0-d146-4e0c-9edb-95e698edcd99,"شقة فى المعادى",43.2
living-room,interior,living-room-07.jpg,4,f15933d0-b890-4c3e-9652-67fa93999e80,"Modern Apartment in Zamalek (Test)",42.3
living-room,interior,living-room-08.jpg,1,c2d7a0a0-d146-4e0c-9edb-95e698edcd99,"شقة فى المعادى",47.7
living-room,interior,living-room-08.jpg,2,5beded7e-600e-4a41-b6b0-818a1e23a4ed,"شقة فى مدينة نصر",47.7
living-room,interior,living-room-08.jpg,3,d7b6825a-fe7b-43d0-8045-040e3f15e1dd,"Luxury Apartment in New Cairo",43.9
living-room,interior,living-room-08.jpg,4,f15933d0-b890-4c3e-9652-67fa93999e80,"Modern Apartment in Zamalek (Test)",42.6
living-room,interior,living-room-09.jpg,1,5beded7e-600e-4a41-b6b0-818a1e23a4ed,"شقة فى مدينة نصر",61.6
living-room,interior,living-room-09.jpg,2,c2d7a0a0-d146-4e0c-9edb-95e698edcd99,"شقة فى المعادى",61.6
living-room,interior,living-room-09.jpg,3,d7b6825a-fe7b-43d0-8045-040e3f15e1dd,"Luxury Apartment in New Cairo",58.7
living-room,interior,living-room-09.jpg,4,f15933d0-b890-4c3e-9652-67fa93999e80,"Modern Apartment in Zamalek (Test)",57.7
living-room,interior,living-room-10.jpg,1,5beded7e-600e-4a41-b6b0-818a1e23a4ed,"شقة فى مدينة نصر",56.5
living-room,interior,living-room-10.jpg,2,c2d7a0a0-d146-4e0c-9edb-95e698edcd99,"شقة فى المعادى",56.5
living-room,interior,living-room-10.jpg,3,d7b6825a-fe7b-43d0-8045-040e3f15e1dd,"Luxury Apartment in New Cairo",55.8
living-room,interior,living-room-10.jpg,4,f15933d0-b890-4c3e-9652-67fa93999e80,"Modern Apartment in Zamalek (Test)",53.7
dining-room,interior,dining-room-01.jpg,1,5beded7e-600e-4a41-b6b0-818a1e23a4ed,"شقة فى مدينة نصر",37.4
dining-room,interior,dining-room-01.jpg,2,c2d7a0a0-d146-4e0c-9edb-95e698edcd99,"شقة فى المعادى",37.4
dining-room,interior,dining-room-01.jpg,3,d7b6825a-fe7b-43d0-8045-040e3f15e1dd,"Luxury Apartment in New Cairo",36.9
dining-room,interior,dining-room-01.jpg,4,f15933d0-b890-4c3e-9652-67fa93999e80,"Modern Apartment in Zamalek (Test)",35.5
dining-room,interior,dining-room-02.jpg,1,5beded7e-600e-4a41-b6b0-818a1e23a4ed,"شقة فى مدينة نصر",37.4
dining-room,interior,dining-room-02.jpg,2,c2d7a0a0-d146-4e0c-9edb-95e698edcd99,"شقة فى المعادى",37.4
dining-room,interior,dining-room-02.jpg,3,d7b6825a-fe7b-43d0-8045-040e3f15e1dd,"Luxury Apartment in New Cairo",36.9
dining-room,interior,dining-room-02.jpg,4,f15933d0-b890-4c3e-9652-67fa93999e80,"Modern Apartment in Zamalek (Test)",35.5
dining-room,interior,dining-room-03.jpg,1,5beded7e-600e-4a41-b6b0-818a1e23a4ed,"شقة فى مدينة نصر",33.3
dining-room,interior,dining-room-03.jpg,2,c2d7a0a0-d146-4e0c-9edb-95e698edcd99,"شقة فى المعادى",33.3
dining-room,interior,dining-room-03.jpg,3,d7b6825a-fe7b-43d0-8045-040e3f15e1dd,"Luxury Apartment in New Cairo",32.6
dining-room,interior,dining-room-03.jpg,4,f15933d0-b890-4c3e-9652-67fa93999e80,"Modern Apartment in Zamalek (Test)",31.3
dining-room,interior,dining-room-04.jpg,1,5beded7e-600e-4a41-b6b0-818a1e23a4ed,"شقة فى مدينة نصر",64.9
dining-room,interior,dining-room-04.jpg,2,c2d7a0a0-d146-4e0c-9edb-95e698edcd99,"شقة فى المعادى",64.9
dining-room,interior,dining-room-04.jpg,3,d7b6825a-fe7b-43d0-8045-040e3f15e1dd,"Luxury Apartment in New Cairo",64.6
dining-room,interior,dining-room-04.jpg,4,f15933d0-b890-4c3e-9652-67fa93999e80,"Modern Apartment in Zamalek (Test)",64.2
dining-room,interior,dining-room-05.jpg,1,5beded7e-600e-4a41-b6b0-818a1e23a4ed,"شقة فى مدينة نصر",70.5
dining-room,interior,dining-room-05.jpg,2,c2d7a0a0-d146-4e0c-9edb-95e698edcd99,"شقة فى المعادى",70.5
dining-room,interior,dining-room-05.jpg,3,d7b6825a-fe7b-43d0-8045-040e3f15e1dd,"Luxury Apartment in New Cairo",67.4
dining-room,interior,dining-room-05.jpg,4,f15933d0-b890-4c3e-9652-67fa93999e80,"Modern Apartment in Zamalek (Test)",66.6
dining-room,interior,dining-room-06.jpg,1,c2d7a0a0-d146-4e0c-9edb-95e698edcd99,"شقة فى المعادى",74.3
dining-room,interior,dining-room-06.jpg,2,5beded7e-600e-4a41-b6b0-818a1e23a4ed,"شقة فى مدينة نصر",74.3
dining-room,interior,dining-room-06.jpg,3,d7b6825a-fe7b-43d0-8045-040e3f15e1dd,"Luxury Apartment in New Cairo",69.1
dining-room,interior,dining-room-06.jpg,4,f15933d0-b890-4c3e-9652-67fa93999e80,"Modern Apartment in Zamalek (Test)",66
dining-room,interior,dining-room-07.jpg,1,5beded7e-600e-4a41-b6b0-818a1e23a4ed,"شقة فى مدينة نصر",68.6
dining-room,interior,dining-room-07.jpg,2,c2d7a0a0-d146-4e0c-9edb-95e698edcd99,"شقة فى المعادى",68.6
dining-room,interior,dining-room-07.jpg,3,d7b6825a-fe7b-43d0-8045-040e3f15e1dd,"Luxury Apartment in New Cairo",66
dining-room,interior,dining-room-07.jpg,4,f15933d0-b890-4c3e-9652-67fa93999e80,"Modern Apartment in Zamalek (Test)",64.8
dining-room,interior,dining-room-08.jpg,1,5beded7e-600e-4a41-b6b0-818a1e23a4ed,"شقة فى مدينة نصر",64.8
dining-room,interior,dining-room-08.jpg,2,c2d7a0a0-d146-4e0c-9edb-95e698edcd99,"شقة فى المعادى",64.8
dining-room,interior,dining-room-08.jpg,3,d7b6825a-fe7b-43d0-8045-040e3f15e1dd,"Luxury Apartment in New Cairo",63
dining-room,interior,dining-room-08.jpg,4,f15933d0-b890-4c3e-9652-67fa93999e80,"Modern Apartment in Zamalek (Test)",62.3
dining-room,interior,dining-room-09.jpg,1,5beded7e-600e-4a41-b6b0-818a1e23a4ed,"شقة فى مدينة نصر",75.6
dining-room,interior,dining-room-09.jpg,2,c2d7a0a0-d146-4e0c-9edb-95e698edcd99,"شقة فى المعادى",75.6
